,UNIQUE_ID,ROUTE_NAM,STREET_NAM,TPL_TYPE,STATUS,LENGTH,YEAR_CONST,DIRECTION,STREET_TYP,POINT_X,POINT_Y,newLong,newLat
4792,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496389.29327620286,5455257.315344578,-123.04961422225071,49.250075841693054
4793,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496388.8740676679,5455192.316720111,-123.04961939657845,49.249491162164695
4794,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496388.5234577181,5455127.317665713,-123.04962362820424,49.24890647911419
4795,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496388.13592984714,5455062.318822542,-123.04962836700302,49.24832179768623
4796,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496387.7374484679,5454997.3200444225,-123.0496332561991,49.247737116719115
4797,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496387.5134291239,5454932.320571683,-123.04963574816237,49.24715243047399
4798,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496387.3340026373,5454867.320821233,-123.04963762736881,49.24656774193451
4799,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496387.14886707626,5454802.321084902,-123.04963958497724,49.24598305342885
4800,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496387.1401147889,5454737.321175013,-123.0496391191147,49.245398364343785
4801,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496386.9483113745,5454672.321458004,-123.04964116828206,49.244813675853585
4802,454,Sunrise,Slocan,Local Street,Active,671,1998,NS,Sec Arterial,496386.88540000096,5454651.001599997,-123.04964184039795,49.24462189845816
4803,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496603.87480000034,5459115.272900002,-123.04669842869079,49.284780149784275
4804,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496604.0265549626,5459180.27272271,-123.04669689411898,49.285364834895766
4805,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496604.15360691026,5459245.272588659,-123.0466956992029,49.285949520199466
4806,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496604.20433839876,5459310.272562021,-123.04669555374583,49.2865342059858
4807,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496604.50787942484,5459375.271574244,-123.0466919318606,49.287118884471816
4808,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496604.8642072519,5459440.270587552,-123.04668758400685,49.28770356320133
4809,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496605.0959536368,5459505.2701714,-123.04668494923837,49.288288246311204
4810,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496605.2861022139,5459570.269889936,-123.04668288645146,49.28887293034202
4811,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496605.5286317179,5459635.269360302,-123.04668010328659,49.28945761237201
4812,455,Sunrise,N Kaslo,Local Street,Active,762,1998,NS,Residential,496605.6807000004,5459700.268940801,-123.04667856408086,49.290042294830634
